scenario,agent,total_reward,total_regret,mean_context_error,architecture_accuracy
biased_outliers,bayesian_uncertainty,213234.37054739363,21900.56018680784,486.2302678097377,0.445
biased_outliers,oracle,207486.366234383,27323.84934453533,0.0,0.535
biased_outliers,median_reports,205164.83549334775,29510.01740438368,243.0611766719717,0.28
biased_outliers,bayesian_imputation,204106.50035700685,30888.46908595001,487.3739390448165,0.195
biased_outliers,mean_reports,189232.02460571425,46331.72200736475,661.5695882277574,0.265
persistent_bias,oracle,207486.366234383,27323.84934453533,0.0,0.535
persistent_bias,bayesian_uncertainty,190658.7162275265,44476.214506674994,313.4945725666483,0.185
persistent_bias,median_reports,178726.1213318749,55948.73156585657,252.38020493933615,0.005
persistent_bias,mean_reports,174465.95547733136,61097.79113574765,359.9965167576839,0.005
persistent_bias,bayesian_imputation,172170.18987167644,62824.77957128042,312.9365863459447,0.005
heterogeneous_noise,oracle,207486.366234383,27323.84934453533,0.0,0.535
heterogeneous_noise,mean_reports,204102.96226954155,31460.784343537467,379.9532595740304,0.0
heterogeneous_noise,bayesian_imputation,202648.14866257983,32346.82078037701,209.25199746943213,0.37
heterogeneous_noise,bayesian_uncertainty,187702.64310250545,47432.28763169601,210.02182736243884,0.39
heterogeneous_noise,median_reports,179278.49829333238,55396.35460439911,249.89072552546375,0.005
reliability_drift,bayesian_uncertainty,210891.5895112523,24243.34122294916,190.10758592232483,0.715
reliability_drift,oracle,207486.366234383,27323.84934453533,0.0,0.535
reliability_drift,bayesian_imputation,202468.6041369536,32526.365306003307,192.03627522567496,0.355
reliability_drift,median_reports,184615.9745613949,50058.878336336624,213.59940679527045,0.01
reliability_drift,mean_reports,173722.80358243687,61840.94303064212,275.1428926573069,0.17
stale_reports,oracle,207486.366234383,27323.84934453533,0.0,0.535
stale_reports,bayesian_uncertainty,191333.19741556444,43801.73331863703,256.65058402089505,0.44
stale_reports,median_reports,188404.94206606536,46269.91083166608,201.3639684029979,0.15
stale_reports,mean_reports,187570.6947028698,47993.05191020921,365.2905919157069,0.34
stale_reports,bayesian_imputation,182743.2146063586,52251.75483659827,257.1889380597529,0.005
outlier_bursts,oracle,207486.366234383,27323.84934453533,0.0,0.535
outlier_bursts,mean_reports,205434.51209760935,30167.246568327504,225.16738800664905,0.005
outlier_bursts,bayesian_uncertainty,171710.05760252214,63424.87313167932,185.4111864356084,0.355
outlier_bursts,median_reports,164172.87024383823,70501.98265389324,190.78210523950548,0.13
outlier_bursts,bayesian_imputation,161828.06182490184,73166.90761805503,187.4108374043492,0.005
mixed_unreliable,oracle,207486.366234383,27323.84934453533,0.0,0.535
mixed_unreliable,bayesian_uncertainty,203648.01431257656,31503.816862590345,383.0759120827136,0.175
mixed_unreliable,mean_reports,192637.61388221057,42926.132730868434,572.3793855611739,0.0
mixed_unreliable,bayesian_imputation,190854.2657543447,44140.70368861216,385.2578178029168,0.015
mixed_unreliable,median_reports,164342.05066774174,70332.80222998974,241.25048039866516,0.035
